object file;REPCXX.prep_and_parser;preprocessing;parsing;REPCXX.sema_and_rdt;RDT;REPCXX.lef_init;REPCXX.checkers;UsageRulesChecker;FormatString;MallocSizeofPointer;CheckInconsistentLabels;USAGE_RULES_FOR_CALLS;RCA;REPCXX.XPath;REPCXX.MIR_related;ast_to_mir converter;orderFunctionNodes;mir checksum;mir save;statNPD;REPCXX.lef_finalize;REPCXX.metrics;REPCXX.call_graph;clef.processing_file;GENERAL_KB;READKB;WRITEKB;UMR;NPDKB;NPD.SRC;NPD;RNPD;RNC;ALLOCKB;FREEKB;FREE;MLK;CheckIterator;ABVKB;TaintedStringKB;TaintedString;TaintedAllocKB;TaintedAlloc;Concurrency;rhReleaseKB;CheckLocAddrRet;RETURN;INF_LOOP;CLASSLEVEL;HashNoSalt;HardcodedCredentials;restore mir;clef.kbDInit;recv_cached_data;AnalyzeModifiedGlobals;mir_function_init;mir_function_finalize;ALLOCKB.XMRF;ALLOCKB.ALLOC;TaintedString.ABV_NNTS;TaintedString.SOURCEKB;TaintedString.SINKKB;TaintedString.PROPKB;TaintedAlloc.SOURCEKB;TaintedAlloc.SINKKB;clef.kbDump;clef.kbDumpSocket;KWLEF.MAIN;KWLEF.statNPD;KWLEF.analysis loop;KBDB_SOCK_GET;CACHE_SOCK_GET;KBDB_SOCK_GET_ENT;KBDB_SOCK_GET_KB;KBDB_SOCK_UPD;KBDB_SOCK_UPD_KB;KBDB_SOCK_UPD_KB_RECV;KBDB_SOCK_UPD_KB_DBREAD;KBDB_SOCK_UPD_KB_DBWRITE;KBDB_SOCK_UPD_KB_SYNC;KBDB_SOCK_UPD_DEFECTS;KBDB_SOCK_UPD_HASH;KWLEF.M2SOCK_INNER;KWLEF.M1SOCK_OUTER;KWLEF.finalizing cache;KWLEF.generated kb dump;KBDB_CACHE_READ;KBDB_CACHE_WRITE;LINKER.ParsingOptions;LINKER.InitializationInv;LINKER.ReadingObjects;LINKER.Linking;
getopt1.c_10.o;0.035;0.009;0.004;0.001;0.001;0.001;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.029;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
hash.c_23.o;0.099;0.046;0.028;0.011;0.011;0.001;0.008;0.000;0.001;0.000;0.000;0.000;0.001;0.003;0.014;0.004;0.000;0.001;0.005;0.000;0.000;0.002;0.003;0.455;0.103;0.014;0.008;0.001;0.025;0.009;0.007;0.003;0.000;0.061;0.006;0.005;0.004;0.000;0.028;0.003;0.001;0.015;0.000;0.000;0.000;0.005;0.000;0.003;0.000;0.001;0.003;0.009;0.013;0.004;0.000;0.047;0.002;0.020;0.040;0.000;0.000;0.003;0.000;0.000;0.014;0.015;0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
implicit.c_11.o;0.118;0.053;0.042;0.019;0.019;0.001;0.013;0.000;0.002;0.000;0.000;0.000;0.003;0.004;0.074;0.019;0.000;0.006;0.024;0.019;0.000;0.004;0.005;0.302;0.074;0.005;0.003;0.000;0.005;0.004;0.002;0.001;0.000;0.004;0.000;0.004;0.000;0.000;0.015;0.001;0.000;0.002;0.000;0.000;0.000;0.004;0.000;0.005;0.000;0.000;0.001;0.040;0.016;0.001;0.006;0.043;0.001;0.002;0.001;0.000;0.000;0.001;0.000;0.000;0.002;0.004;0.003;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
job.c_12.o;0.123;0.056;0.042;0.013;0.013;0.001;0.013;0.000;0.003;0.000;0.000;0.000;0.002;0.005;0.075;0.021;0.000;0.009;0.033;0.006;0.000;0.004;0.005;25.308;2.109;0.014;0.008;0.071;0.056;7.754;0.224;0.087;0.007;1.165;0.024;2.636;0.049;0.002;4.093;0.179;0.007;0.095;0.009;0.000;0.072;0.222;0.003;0.358;0.000;0.005;0.012;0.054;0.018;0.001;0.009;5.829;0.044;0.100;1.065;0.000;0.154;0.020;0.003;0.003;0.092;0.011;0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
kw_timers.o;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;57.447;0.000;57.137;0.033;0.003;0.006;0.022;0.058;0.034;0.001;0.002;0.003;0.008;0.002;0.001;0.118;56.929;0.000;0.011;0.001;0.009;0.000;0.000;0.000;0.000
main.c_13.o;0.139;0.062;0.055;0.015;0.015;0.001;0.019;0.000;0.005;0.000;0.000;0.000;0.003;0.006;0.201;0.034;0.000;0.013;0.052;0.095;0.000;0.006;0.006;5.194;0.077;0.009;0.002;0.010;0.360;0.052;1.249;0.053;0.002;0.142;0.002;0.033;0.249;0.001;0.583;0.022;0.003;0.053;0.002;0.000;0.002;0.122;0.002;0.051;0.000;0.004;0.009;0.083;0.028;0.002;0.088;1.784;0.020;0.009;0.133;0.000;0.007;0.009;0.005;0.003;0.049;0.008;0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
main.c_24.o;0.138;0.062;0.054;0.016;0.016;0.001;0.018;0.000;0.005;0.000;0.000;0.000;0.003;0.006;0.191;0.033;0.000;0.014;0.050;0.087;0.000;0.006;0.006;3.282;0.038;0.004;0.001;0.010;0.192;0.027;1.221;0.051;0.002;0.072;0.001;0.032;0.078;0.001;0.288;0.011;0.003;0.031;0.002;0.000;0.001;0.117;0.002;0.049;0.000;0.002;0.005;0.036;0.014;0.001;0.039;0.882;0.011;0.004;0.067;0.000;0.004;0.004;0.002;0.001;0.029;0.004;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
misc.c_14.o;0.099;0.047;0.030;0.011;0.011;0.001;0.009;0.000;0.001;0.000;0.000;0.000;0.001;0.003;0.022;0.006;0.000;0.002;0.008;0.001;0.000;0.002;0.004;0.505;0.076;0.006;0.001;0.001;0.012;0.019;0.011;0.004;0.001;0.046;0.002;0.004;0.004;0.000;0.036;0.007;0.001;0.010;0.000;0.000;0.000;0.021;0.000;0.011;0.000;0.002;0.005;0.014;0.011;0.001;0.001;0.116;0.003;0.010;0.036;0.000;0.000;0.006;0.000;0.000;0.009;0.011;0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
read.c_15.o;0.183;0.073;0.088;0.018;0.018;0.001;0.031;0.000;0.011;0.001;0.000;0.000;0.004;0.011;0.305;0.093;0.001;0.032;0.117;0.053;0.000;0.015;0.007;36.569;2.359;0.077;0.039;0.063;0.212;6.825;1.215;0.111;0.011;3.468;0.022;7.203;8.626;0.003;1.496;0.269;0.011;0.150;0.004;0.000;0.003;0.402;0.006;0.456;0.000;0.008;0.028;0.231;0.039;0.002;0.053;2.957;0.083;0.269;3.199;0.000;0.122;0.115;0.030;0.002;0.147;0.020;0.006;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
remake.c_16.o;0.126;0.058;0.045;0.014;0.014;0.001;0.017;0.000;0.003;0.000;0.000;0.000;0.002;0.005;0.103;0.041;0.000;0.010;0.038;0.009;0.000;0.005;0.005;7.031;1.015;0.148;0.116;0.047;0.172;0.131;0.448;0.111;0.002;0.280;0.009;0.827;0.195;0.002;0.486;0.226;0.039;0.180;0.004;0.000;0.007;0.371;0.006;0.105;0.000;0.007;0.024;0.076;0.029;0.001;0.010;1.806;0.047;0.107;0.173;0.000;0.161;0.055;0.010;0.002;0.177;0.011;0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
